student_id,skills,domain,age,govt_project,freelancer,project_impact,is_fresher,github,state,rural,female,profile_text
S00025,"tableau, r, marketing",Marketing,18,0,1,0.3944410607244206,1,,Rajasthan,1,1,"tableau, r, marketing Marketing project_impact:0.3944410607244206"
S00026,"figma, gcp, finance, react, graphql",Finance,22,0,0,0.15084794291725553,1,https://github.com/user_26,West Bengal,1,1,"figma, gcp, finance, react, graphql Finance project_impact:0.15084794291725553"
S00027,"react, sales, machine learning, kubernetes, docker",Data Science,23,0,0,0.6915080042392231,1,https://github.com/user_27,Gujarat,1,0,"react, sales, machine learning, kubernetes, docker Data Science project_impact:0.6915080042392231"
S00028,"ux, ios",Mobile,28,0,0,0.2582227410173456,0,https://github.com/user_28,Rajasthan,1,0,"ux, ios Mobile project_impact:0.2582227410173456"
S00029,"nodejs, aws",Marketing,20,0,1,0.09937723626239894,0,,Gujarat,0,0,"nodejs, aws Marketing project_impact:0.09937723626239894"
S00030,"react, excel, marketing, ux",Data Science,24,0,1,0.06374485869777848,1,https://github.com/user_30,West Bengal,0,0,"react, excel, marketing, ux Data Science project_impact:0.06374485869777848"
S00031,"r, deep learning, tableau, figma, android",Product,23,0,0,0.4663418984124998,0,https://github.com/user_31,Gujarat,0,1,"r, deep learning, tableau, figma, android Product project_impact:0.4663418984124998"
S00032,"machine learning, business analysis",Data Science,20,0,1,0.3987306355433717,1,https://github.com/user_32,Gujarat,0,1,"machine learning, business analysis Data Science project_impact:0.3987306355433717"
S00033,"ios, computer vision, tableau, marketing, css",Marketing,20,0,0,0.4285971479573045,1,,Maharashtra,0,1,"ios, computer vision, tableau, marketing, css Marketing project_impact:0.4285971479573045"
S00034,"machine learning, gcp, deep learning, tableau, kubernetes",Product,22,0,0,0.4965115721026122,0,,Maharashtra,0,1,"machine learning, gcp, deep learning, tableau, kubernetes Product project_impact:0.4965115721026122"
S00035,"gcp, kubernetes, c++, excel",Frontend Design,27,0,1,0.22661515258699905,1,https://github.com/user_35,Tamil Nadu,0,0,"gcp, kubernetes, c++, excel Frontend Design project_impact:0.22661515258699905"
S00036,"computer vision, html",Mobile,28,0,0,0.20912074459000438,1,https://github.com/user_36,Gujarat,0,0,"computer vision, html Mobile project_impact:0.20912074459000438"
S00037,"css, excel, graphql, excel, android",Data Science,25,0,0,0.16548825632797814,1,https://github.com/user_37,Kerala,0,0,"css, excel, graphql, excel, android Data Science project_impact:0.16548825632797814"
S00038,"aws, graphql",Data Science,19,0,0,0.07957266581135539,1,,Rajasthan,0,0,"aws, graphql Data Science project_impact:0.07957266581135539"
S00039,"flask, matlab, graphql, powerbi, ux",Product,24,0,0,0.19130369778526016,1,https://github.com/user_39,Gujarat,0,0,"flask, matlab, graphql, powerbi, ux Product project_impact:0.19130369778526016"
S00040,"graphql, html, python",Product,18,0,1,0.2572556262767322,0,https://github.com/user_40,Maharashtra,0,0,"graphql, html, python Product project_impact:0.2572556262767322"
S00041,"nlp, tableau, excel",Frontend Design,18,0,0,0.08162549621195195,1,,Maharashtra,1,0,"nlp, tableau, excel Frontend Design project_impact:0.08162549621195195"
S00042,"html, react",Finance,26,0,0,0.5270788241396575,1,https://github.com/user_42,Rajasthan,0,0,"html, react Finance project_impact:0.5270788241396575"
S00043,"excel, machine learning, nlp, java",Data Science,30,1,0,0.09586580720547071,0,,Uttar Pradesh,1,1,"excel, machine learning, nlp, java Data Science project_impact:0.09586580720547071"
S00044,"python, nlp, gcp, aws, powerbi",Marketing,29,0,0,0.446150602472674,0,,Tamil Nadu,0,1,"python, nlp, gcp, aws, powerbi Marketing project_impact:0.446150602472674"
S00045,"graphql, figma",Frontend Design,26,0,0,0.3962471398370725,1,,Maharashtra,0,1,"graphql, figma Frontend Design project_impact:0.3962471398370725"
S00046,"html, kubernetes, sales, graphql, matlab",DevOps,19,0,0,0.5836202131207773,1,,Tamil Nadu,1,1,"html, kubernetes, sales, graphql, matlab DevOps project_impact:0.5836202131207773"
S00047,"sql, java",Product,29,1,0,0.3342257218630762,1,,Uttar Pradesh,0,1,"sql, java Product project_impact:0.3342257218630762"
S00048,"marketing, react, excel, machine learning",Product,22,0,0,0.1745960498907447,1,,Punjab,0,1,"marketing, react, excel, machine learning Product project_impact:0.1745960498907447"
S00049,"html, machine learning, flask",Marketing,26,0,0,0.07575774433972993,1,,Karnataka,0,1,"html, machine learning, flask Marketing project_impact:0.07575774433972993"
S00050,"ux, excel, excel",Product,31,0,0,0.7679086568882206,1,https://github.com/user_50,Maharashtra,1,0,"ux, excel, excel Product project_impact:0.7679086568882206"
S00051,"business analysis, docker, react",DevOps,22,0,0,0.24671397688586422,0,,West Bengal,1,1,"business analysis, docker, react DevOps project_impact:0.24671397688586422"
S00052,"sales, fastapi, nlp, computer vision, graphql",Marketing,28,0,0,0.21998872502775094,0,,Punjab,0,1,"sales, fastapi, nlp, computer vision, graphql Marketing project_impact:0.21998872502775094"
S00053,"ios, computer vision",Marketing,22,0,1,0.6371569205932077,0,,Punjab,0,0,"ios, computer vision Marketing project_impact:0.6371569205932077"
S00054,"matlab, kubernetes",Finance,18,0,0,0.3586044422113574,0,,Maharashtra,0,0,"matlab, kubernetes Finance project_impact:0.3586044422113574"
S00055,"nodejs, react, ux, r, excel",Product,26,1,0,0.28190440316414356,1,,Gujarat,0,0,"nodejs, react, ux, r, excel Product project_impact:0.28190440316414356"
S00056,"powerbi, html, ux, marketing, machine learning",Frontend Design,20,0,0,0.1883042047416197,0,https://github.com/user_56,Karnataka,0,0,"powerbi, html, ux, marketing, machine learning Frontend Design project_impact:0.1883042047416197"
S00057,"spring, python, finance",Backend Development,26,0,0,0.09387603301800533,1,https://github.com/user_57,Telangana,0,1,"spring, python, finance Backend Development project_impact:0.09387603301800533"
S00058,"flask, docker, matlab",Frontend Design,19,1,1,0.11160828266923872,1,,Karnataka,0,1,"flask, docker, matlab Frontend Design project_impact:0.11160828266923872"
S00059,"marketing, excel, css, sql",Product,28,0,0,0.2107320161879002,0,https://github.com/user_59,Rajasthan,0,1,"marketing, excel, css, sql Product project_impact:0.2107320161879002"
S00060,"nodejs, graphql, excel, java",Data Science,18,0,1,0.5557470495473628,0,https://github.com/user_60,Rajasthan,1,1,"nodejs, graphql, excel, java Data Science project_impact:0.5557470495473628"
S00061,"aws, marketing",Backend Development,31,0,0,0.31848164508605076,1,https://github.com/user_61,West Bengal,0,0,"aws, marketing Backend Development project_impact:0.31848164508605076"
S00062,"html, sales, python",Finance,29,0,0,0.6190657462602243,1,,Punjab,0,0,"html, sales, python Finance project_impact:0.6190657462602243"
S00063,"nodejs, sql",Backend Development,30,0,0,0.5160541022481265,1,https://github.com/user_63,Telangana,0,1,"nodejs, sql Backend Development project_impact:0.5160541022481265"
S00064,"powerbi, matlab, computer vision, figma",Frontend Design,28,0,0,0.23901509659371778,0,https://github.com/user_64,Punjab,0,1,"powerbi, matlab, computer vision, figma Frontend Design project_impact:0.23901509659371778"
S00065,"python, business analysis, fastapi",DevOps,26,0,0,0.021811254527175767,1,https://github.com/user_65,Karnataka,0,0,"python, business analysis, fastapi DevOps project_impact:0.021811254527175767"
S00066,"react, flask, nlp, spring, machine learning",Frontend Design,26,0,0,0.40025154097786875,1,https://github.com/user_66,Telangana,1,1,"react, flask, nlp, spring, machine learning Frontend Design project_impact:0.40025154097786875"
S00067,"marketing, sql, fastapi, python",Finance,22,0,0,0.6571687889006115,1,https://github.com/user_67,Karnataka,0,1,"marketing, sql, fastapi, python Finance project_impact:0.6571687889006115"
S00068,"nlp, android",DevOps,19,0,0,0.2606471836107578,0,https://github.com/user_68,Rajasthan,1,0,"nlp, android DevOps project_impact:0.2606471836107578"
S00069,"computer vision, sales, finance, matlab",Marketing,18,0,0,0.29812562732700254,0,,Uttar Pradesh,0,1,"computer vision, sales, finance, matlab Marketing project_impact:0.29812562732700254"
S00070,"tableau, figma, android",DevOps,31,0,1,0.4711959716648683,1,https://github.com/user_70,Kerala,0,1,"tableau, figma, android DevOps project_impact:0.4711959716648683"
S00071,"ux, sales, r, gcp, docker",Marketing,26,0,0,0.38052026354084345,1,,Tamil Nadu,0,1,"ux, sales, r, gcp, docker Marketing project_impact:0.38052026354084345"
S00072,"powerbi, r, excel",Backend Development,21,0,1,0.404090718520306,0,,Tamil Nadu,1,1,"powerbi, r, excel Backend Development project_impact:0.404090718520306"
S00073,"figma, java",Backend Development,26,0,0,0.1570017582969825,1,https://github.com/user_73,Telangana,1,0,"figma, java Backend Development project_impact:0.1570017582969825"
S00074,"fastapi, excel",Product,21,0,0,0.10964630682817436,1,,Maharashtra,0,0,"fastapi, excel Product project_impact:0.10964630682817436"
S00075,"gcp, python, nlp, matlab",DevOps,21,0,0,0.2860796952680234,0,https://github.com/user_75,Kerala,0,0,"gcp, python, nlp, matlab DevOps project_impact:0.2860796952680234"
S00076,"nodejs, flask, r, tableau, figma",Frontend Design,28,0,0,0.21631320233506668,1,https://github.com/user_76,Karnataka,1,0,"nodejs, flask, r, tableau, figma Frontend Design project_impact:0.21631320233506668"
S00077,"java, ios, flask, excel, graphql",Marketing,24,0,0,0.3081459072596106,1,https://github.com/user_77,Maharashtra,1,1,"java, ios, flask, excel, graphql Marketing project_impact:0.3081459072596106"
S00078,"fastapi, excel, java, sql, aws",Data Science,31,0,0,0.3288805474367449,1,https://github.com/user_78,West Bengal,1,0,"fastapi, excel, java, sql, aws Data Science project_impact:0.3288805474367449"
S00079,"sql, tableau",Backend Development,24,0,1,0.38095461600478925,1,https://github.com/user_79,Maharashtra,0,1,"sql, tableau Backend Development project_impact:0.38095461600478925"
S00080,"matlab, ux, excel",Product,28,0,0,0.2872889724818912,1,,Uttar Pradesh,0,0,"matlab, ux, excel Product project_impact:0.2872889724818912"
S00081,"ux, c++, ios, excel",Data Science,23,0,1,0.6022405575260532,1,,West Bengal,0,0,"ux, c++, ios, excel Data Science project_impact:0.6022405575260532"
S00082,"java, react, matlab, figma",DevOps,27,0,0,0.5572644746085922,1,,Maharashtra,1,1,"java, react, matlab, figma DevOps project_impact:0.5572644746085922"
S00083,"graphql, html, css",Frontend Design,24,0,1,0.38329779605021497,1,,Uttar Pradesh,0,1,"graphql, html, css Frontend Design project_impact:0.38329779605021497"
S00084,"css, graphql",Marketing,28,0,1,0.15566289246565457,1,https://github.com/user_84,West Bengal,0,0,"css, graphql Marketing project_impact:0.15566289246565457"
S00085,"sql, finance, ios",Backend Development,18,1,0,0.591227393976185,1,https://github.com/user_85,Tamil Nadu,1,1,"sql, finance, ios Backend Development project_impact:0.591227393976185"
S00086,"java, deep learning, matlab, css",Backend Development,18,0,0,0.2408256466803852,0,https://github.com/user_86,Rajasthan,0,0,"java, deep learning, matlab, css Backend Development project_impact:0.2408256466803852"
S00087,"java, docker, business analysis, aws, nodejs",Backend Development,19,0,1,0.17596945765817926,1,https://github.com/user_87,Karnataka,0,1,"java, docker, business analysis, aws, nodejs Backend Development project_impact:0.17596945765817926"
S00088,"finance, matlab, machine learning, graphql, nlp",Product,21,0,0,0.520206796481244,1,,Maharashtra,0,1,"finance, matlab, machine learning, graphql, nlp Product project_impact:0.520206796481244"
S00089,"java, kubernetes, aws",Frontend Design,30,1,1,0.38519646993394424,1,,Uttar Pradesh,0,1,"java, kubernetes, aws Frontend Design project_impact:0.38519646993394424"
S00090,"computer vision, sales, sql",Mobile,23,0,0,0.7531301410801807,1,,Maharashtra,0,1,"computer vision, sales, sql Mobile project_impact:0.7531301410801807"
S00091,"css, business analysis, kubernetes, c++, aws",Finance,23,0,0,0.35464513942852055,1,https://github.com/user_91,Kerala,0,0,"css, business analysis, kubernetes, c++, aws Finance project_impact:0.35464513942852055"
S00092,"sales, kubernetes",Frontend Design,23,0,0,0.3348081515852466,0,https://github.com/user_92,Telangana,0,0,"sales, kubernetes Frontend Design project_impact:0.3348081515852466"
S00093,"sql, docker, nodejs, powerbi",Data Science,30,1,0,0.24452342600047294,0,,Punjab,1,0,"sql, docker, nodejs, powerbi Data Science project_impact:0.24452342600047294"
S00094,"sql, business analysis, machine learning, sales, excel",Data Science,31,0,0,0.40091429169474435,1,https://github.com/user_94,Maharashtra,0,1,"sql, business analysis, machine learning, sales, excel Data Science project_impact:0.40091429169474435"
S00095,"excel, business analysis, marketing",DevOps,20,0,0,0.5580436871387283,1,,West Bengal,0,0,"excel, business analysis, marketing DevOps project_impact:0.5580436871387283"
S00096,"ios, nlp",Mobile,23,0,0,0.24791810986767315,0,,Punjab,1,0,"ios, nlp Mobile project_impact:0.24791810986767315"
S00097,"r, graphql, android, tableau",Frontend Design,20,0,0,0.6870441035627054,1,,Tamil Nadu,1,0,"r, graphql, android, tableau Frontend Design project_impact:0.6870441035627054"
S00098,"java, excel",Mobile,29,0,1,0.31917217405573406,0,https://github.com/user_98,Tamil Nadu,0,0,"java, excel Mobile project_impact:0.31917217405573406"
S00099,"finance, matlab, aws, html",DevOps,24,0,1,0.1551643713891328,0,https://github.com/user_99,Kerala,1,0,"finance, matlab, aws, html DevOps project_impact:0.1551643713891328"
S00100,"tableau, matlab, ios, html, python",Product,21,0,0,0.12402900365699068,0,https://github.com/user_100,Gujarat,1,0,"tableau, matlab, ios, html, python Product project_impact:0.12402900365699068"
S00101,"docker, android, css, tableau",Marketing,30,1,0,0.18707318990586033,1,,Telangana,0,0,"docker, android, css, tableau Marketing project_impact:0.18707318990586033"
S00102,"computer vision, react, c++",Data Science,18,0,0,0.5856417430057843,1,https://github.com/user_102,Karnataka,0,1,"computer vision, react, c++ Data Science project_impact:0.5856417430057843"
S00103,"android, r, sales, figma",DevOps,18,0,0,0.22740675997731966,1,https://github.com/user_103,Rajasthan,0,1,"android, r, sales, figma DevOps project_impact:0.22740675997731966"
S00104,"flask, machine learning, business analysis, aws",DevOps,26,0,0,0.5383348957085543,1,https://github.com/user_104,Maharashtra,1,1,"flask, machine learning, business analysis, aws DevOps project_impact:0.5383348957085543"
S00105,"marketing, figma",Backend Development,30,0,0,0.7499751903353762,1,https://github.com/user_105,West Bengal,0,0,"marketing, figma Backend Development project_impact:0.7499751903353762"
S00106,"finance, html, nlp, tableau",Marketing,26,0,0,0.10377396144349293,1,https://github.com/user_106,Punjab,1,1,"finance, html, nlp, tableau Marketing project_impact:0.10377396144349293"
S00107,"android, sales, deep learning, excel",Frontend Design,21,0,1,0.2506883104666641,1,https://github.com/user_107,Uttar Pradesh,0,0,"android, sales, deep learning, excel Frontend Design project_impact:0.2506883104666641"
S00108,"gcp, r, kubernetes, machine learning",Frontend Design,27,0,1,0.2010769314971884,0,https://github.com/user_108,Uttar Pradesh,0,0,"gcp, r, kubernetes, machine learning Frontend Design project_impact:0.2010769314971884"
S00109,"html, docker, gcp, ios",Mobile,27,0,0,0.32967487629540254,1,https://github.com/user_109,West Bengal,0,0,"html, docker, gcp, ios Mobile project_impact:0.32967487629540254"
S00110,"tableau, sql, android, ios, python",Mobile,23,0,0,0.1383276066721417,1,,Punjab,1,1,"tableau, sql, android, ios, python Mobile project_impact:0.1383276066721417"
S00111,"tableau, computer vision, c++, powerbi",Mobile,23,0,0,0.24794934193982432,0,https://github.com/user_111,West Bengal,0,0,"tableau, computer vision, c++, powerbi Mobile project_impact:0.24794934193982432"
S00112,"ux, sql, gcp, css, spring",Finance,26,0,1,0.04700190564995082,1,https://github.com/user_112,Karnataka,0,0,"ux, sql, gcp, css, spring Finance project_impact:0.04700190564995082"
S00113,"android, figma, fastapi, nodejs",Frontend Design,20,0,0,0.2544225443712132,1,,Tamil Nadu,0,0,"android, figma, fastapi, nodejs Frontend Design project_impact:0.2544225443712132"
S00114,"android, graphql, css, computer vision",DevOps,23,0,1,0.3460643121002601,1,https://github.com/user_114,Punjab,1,1,"android, graphql, css, computer vision DevOps project_impact:0.3460643121002601"
S00115,"nlp, fastapi, deep learning, tableau, react",Frontend Design,31,1,0,0.5653634187216565,1,https://github.com/user_115,Tamil Nadu,1,0,"nlp, fastapi, deep learning, tableau, react Frontend Design project_impact:0.5653634187216565"
S00116,"html, excel, finance, matlab",Finance,25,0,0,0.13007482529307302,1,,Rajasthan,0,0,"html, excel, finance, matlab Finance project_impact:0.13007482529307302"
S00117,"matlab, java, aws, react",Finance,22,0,0,0.249226463717955,1,https://github.com/user_117,Karnataka,0,0,"matlab, java, aws, react Finance project_impact:0.249226463717955"
S00118,"sales, spring, r, figma",Data Science,28,0,1,0.3269565022576278,1,https://github.com/user_118,Gujarat,0,0,"sales, spring, r, figma Data Science project_impact:0.3269565022576278"
S00119,"java, aws, nodejs, figma, react",Frontend Design,25,0,1,0.4576636526902731,1,,Punjab,0,0,"java, aws, nodejs, figma, react Frontend Design project_impact:0.4576636526902731"
S00120,"computer vision, finance, sql",Mobile,20,0,1,0.5063592435928991,1,https://github.com/user_120,Tamil Nadu,0,1,"computer vision, finance, sql Mobile project_impact:0.5063592435928991"
S00121,"excel, ios, computer vision",Marketing,19,1,0,0.5079951940164122,0,,Maharashtra,0,0,"excel, ios, computer vision Marketing project_impact:0.5079951940164122"
S00122,"business analysis, tableau, r, deep learning",DevOps,27,0,0,0.5037493789297552,1,,Telangana,0,0,"business analysis, tableau, r, deep learning DevOps project_impact:0.5037493789297552"
S00123,"python, html, machine learning, sql",Frontend Design,30,0,1,0.47733555948564543,1,,Gujarat,0,1,"python, html, machine learning, sql Frontend Design project_impact:0.47733555948564543"
S00124,"spring, c++, excel, flask, graphql",Backend Development,28,0,0,0.2817233410505811,1,,Uttar Pradesh,0,0,"spring, c++, excel, flask, graphql Backend Development project_impact:0.2817233410505811"
S00125,"marketing, sales, machine learning, aws, computer vision",Backend Development,26,0,0,0.5452782853370366,0,,Rajasthan,0,1,"marketing, sales, machine learning, aws, computer vision Backend Development project_impact:0.5452782853370366"
S00126,"deep learning, r, sql, android, excel",Finance,20,0,0,0.32025903118730137,1,https://github.com/user_126,Maharashtra,0,0,"deep learning, r, sql, android, excel Finance project_impact:0.32025903118730137"
S00127,"java, fastapi, nlp",Finance,29,0,0,0.305998756707356,1,https://github.com/user_127,Karnataka,0,0,"java, fastapi, nlp Finance project_impact:0.305998756707356"
S00128,"marketing, graphql, tableau",Backend Development,22,0,1,0.5431913116852313,1,,Uttar Pradesh,0,0,"marketing, graphql, tableau Backend Development project_impact:0.5431913116852313"
S00129,"gcp, flask, finance, sales, ios",Mobile,22,0,0,0.15938504957789879,1,https://github.com/user_129,Kerala,1,0,"gcp, flask, finance, sales, ios Mobile project_impact:0.15938504957789879"
S00130,"powerbi, deep learning, machine learning, nodejs",Product,23,0,1,0.31458651076872507,0,,Telangana,0,1,"powerbi, deep learning, machine learning, nodejs Product project_impact:0.31458651076872507"
S00131,"kubernetes, html, gcp",DevOps,18,0,0,0.2731335851296123,0,https://github.com/user_131,Karnataka,1,0,"kubernetes, html, gcp DevOps project_impact:0.2731335851296123"
S00132,"react, c++",Mobile,19,0,1,0.2767953516797828,1,https://github.com/user_132,Punjab,0,0,"react, c++ Mobile project_impact:0.2767953516797828"
S00133,"android, python, ios",Finance,21,0,0,0.1979953198055003,1,,Rajasthan,0,0,"android, python, ios Finance project_impact:0.1979953198055003"
S00134,"computer vision, marketing, spring",Data Science,31,0,0,0.19739892854570423,1,https://github.com/user_134,Tamil Nadu,0,0,"computer vision, marketing, spring Data Science project_impact:0.19739892854570423"
S00135,"react, matlab, spring, graphql, ux",Marketing,23,0,1,0.060524693817214155,1,https://github.com/user_135,Gujarat,0,0,"react, matlab, spring, graphql, ux Marketing project_impact:0.060524693817214155"
S00136,"marketing, ios, sql, python",Finance,22,0,0,0.17821234295843238,1,,Tamil Nadu,0,1,"marketing, ios, sql, python Finance project_impact:0.17821234295843238"
S00137,"excel, sales, ux",Frontend Design,22,0,1,0.8265324715514607,0,,Karnataka,0,1,"excel, sales, ux Frontend Design project_impact:0.8265324715514607"
S00138,"computer vision, sales",Marketing,19,0,0,0.15986916876211846,0,https://github.com/user_138,Maharashtra,1,0,"computer vision, sales Marketing project_impact:0.15986916876211846"
S00139,"marketing, java, flask, deep learning",Frontend Design,26,0,0,0.04089967736172342,0,https://github.com/user_139,Punjab,0,1,"marketing, java, flask, deep learning Frontend Design project_impact:0.04089967736172342"
S00140,"c++, machine learning, html, tableau, aws",Marketing,30,0,0,0.31387901564459203,1,https://github.com/user_140,Maharashtra,0,0,"c++, machine learning, html, tableau, aws Marketing project_impact:0.31387901564459203"
S00141,"fastapi, nodejs, business analysis",Marketing,25,0,0,0.2532826706154649,1,,Karnataka,0,0,"fastapi, nodejs, business analysis Marketing project_impact:0.2532826706154649"
S00142,"c++, nodejs",Mobile,18,0,0,0.6963608077980825,0,,Karnataka,0,1,"c++, nodejs Mobile project_impact:0.6963608077980825"
S00143,"python, ux",Marketing,28,1,0,0.5680439359937761,0,,Karnataka,0,1,"python, ux Marketing project_impact:0.5680439359937761"
S00144,"react, fastapi, business analysis, tableau, nlp",Backend Development,23,1,0,0.4956622460153949,0,https://github.com/user_144,Telangana,0,0,"react, fastapi, business analysis, tableau, nlp Backend Development project_impact:0.4956622460153949"
S00145,"nlp, graphql, nodejs",Finance,23,1,0,0.2688986388396412,1,https://github.com/user_145,Kerala,1,0,"nlp, graphql, nodejs Finance project_impact:0.2688986388396412"
S00146,"marketing, finance, nlp",Finance,31,0,0,0.28380589671932316,1,https://github.com/user_146,West Bengal,0,0,"marketing, finance, nlp Finance project_impact:0.28380589671932316"
S00147,"marketing, kubernetes",Frontend Design,24,0,0,0.4288687865724286,1,https://github.com/user_147,Tamil Nadu,1,1,"marketing, kubernetes Frontend Design project_impact:0.4288687865724286"
S00148,"docker, graphql, spring, figma",Data Science,26,1,0,0.20805101269728202,0,,West Bengal,1,1,"docker, graphql, spring, figma Data Science project_impact:0.20805101269728202"
S00149,"kubernetes, sql, python, gcp, react",Product,30,0,0,0.7990460584642849,1,https://github.com/user_149,Rajasthan,1,0,"kubernetes, sql, python, gcp, react Product project_impact:0.7990460584642849"
S00150,"kubernetes, marketing, aws, docker, fastapi",Product,26,0,0,0.5131056324187235,1,https://github.com/user_150,Gujarat,0,0,"kubernetes, marketing, aws, docker, fastapi Product project_impact:0.5131056324187235"
S00151,"android, spring, ux",Product,24,0,0,0.3353400405744163,0,,Uttar Pradesh,1,0,"android, spring, ux Product project_impact:0.3353400405744163"
S00152,"marketing, docker, react, deep learning",Frontend Design,24,0,0,0.24452553332897883,1,,West Bengal,0,0,"marketing, docker, react, deep learning Frontend Design project_impact:0.24452553332897883"
S00153,"machine learning, sql",Data Science,27,0,0,0.678695552151495,1,https://github.com/user_153,Maharashtra,0,0,"machine learning, sql Data Science project_impact:0.678695552151495"
S00154,"nlp, flask, matlab, ux, spring",Backend Development,26,0,0,0.5334749451672208,1,,Gujarat,0,0,"nlp, flask, matlab, ux, spring Backend Development project_impact:0.5334749451672208"
S00155,"excel, ux, computer vision, python",Backend Development,30,0,0,0.554534809181538,1,,Karnataka,0,1,"excel, ux, computer vision, python Backend Development project_impact:0.554534809181538"
S00156,"r, deep learning",DevOps,22,0,0,0.4920516294679211,1,https://github.com/user_156,Rajasthan,0,0,"r, deep learning DevOps project_impact:0.4920516294679211"
S00157,"react, fastapi",Data Science,23,0,0,0.19771980948556456,0,https://github.com/user_157,Uttar Pradesh,0,0,"react, fastapi Data Science project_impact:0.19771980948556456"
S00158,"c++, business analysis, nodejs",Data Science,28,0,0,0.3125988006457462,1,https://github.com/user_158,Tamil Nadu,0,1,"c++, business analysis, nodejs Data Science project_impact:0.3125988006457462"
